,initial_angle,arc_length,incidence angle,distance from mirror
7523,0.1504750475047505,0.001820527172432953,-0.0022069940322781843,-1.484031701490083e-06
7524,0.1504950495049505,0.001821009080317198,-0.0022078909793552784,-1.485095701560587e-06
7525,0.15051505150515052,0.0018214910875136393,-0.0022087881763220053,-1.4861603533569887e-06
7526,0.15053505350535054,0.0018219731940398987,-0.0022096856232227437,-1.487225657216926e-06
7527,0.15055505550555057,0.001822455399911269,-0.002210583320095978,-1.4882916134730298e-06
7528,0.1505750575057506,0.001822937705142968,-0.002211481266980038,-1.4893582224578988e-06
7529,0.1505950595059506,0.001823420109752149,-0.0022123794639180975,-1.4904254845085504e-06
7530,0.15061506150615062,0.0018239026137530322,-0.0022132779109459715,-1.491493399955648e-06
7531,0.15063506350635064,0.001824385217161674,-0.0022141766081040966,-1.492561969134054e-06
7532,0.15065506550655067,0.0018248679199946492,-0.002215075555434179,-1.4936311923799164e-06
7533,0.1506750675067507,0.0018253507222666437,-0.002215974752973214,-1.4947010700253343e-06
7534,0.1506950695069507,0.0018258336239953762,-0.0022168742007657987,-1.4957716024092665e-06
7535,0.15071507150715072,0.0018263166251953628,-0.0022177738988484984,-1.4968427898637092e-06
7536,0.15073507350735074,0.0018267997258803164,-0.0022186738472558297,-1.4979146327190071e-06
7537,0.15075507550755077,0.0018272829260683313,-0.00221957404603335,-1.4989871313153633e-06
7538,0.1507750775077508,0.0018277662257751887,-0.0022204744952207963,-1.5000602859879876e-06
7539,0.1507950795079508,0.0018282496250162047,-0.0022213751948567317,-1.5011340970711934e-06
7540,0.15081508150815082,0.0018287331238066278,-0.002222276144979554,-1.502208564899277e-06
7541,0.15083508350835084,0.0018292167221610847,-0.0022231773456260827,-1.5032836898052872e-06
7542,0.15085508550855087,0.0018297004200982197,-0.0022240787968432593,-1.5043594721313461e-06
7543,0.1508750875087509,0.001830184217631202,-0.0022249804986642506,-1.5054359122075337e-06
7544,0.1508950895089509,0.00183066811477984,-0.0022258824511389064,-1.5065130103788434e-06
7545,0.15091509150915092,0.0018311521115532254,-0.002226784654290152,-1.507590766966544e-06
7546,0.15093509350935094,0.0018316362079737912,-0.002227687108174446,-1.5086691823217517e-06
7547,0.15095509550955097,0.0018321204040536328,-0.002228589812822244,-1.509748256772695e-06
7548,0.15097509750975097,0.001832604699807868,-0.0022294927682716256,-1.510827990654467e-06
7549,0.150995099509951,0.0018330890952554459,-0.0022303959745702787,-1.5119083843108452e-06
7550,0.15101510151015102,0.0018335735904066168,-0.0022312994317440415,-1.512989438066336e-06
7551,0.15103510351035104,0.0018340581852853493,-0.0022322031398532205,-1.5140711522761994e-06
7552,0.15105510551055107,0.0018345428799011018,-0.0022331070989216636,-1.5151535272634457e-06
7553,0.15107510751075107,0.0018350276742714442,-0.002234011308993597,-1.5162365633693266e-06
7554,0.1510951095109511,0.0018355125684110965,-0.002234915770106092,-1.5173202609288676e-06
7555,0.15111511151115112,0.0018359975623369672,-0.0022358204823017046,-1.5184046202821214e-06
7556,0.15113511351135114,0.0018364826560660125,-0.002236725445623134,-1.5194896417693893e-06
7557,0.15115511551155117,0.0018369678496124161,-0.0022376306601060918,-1.5205753257249076e-06
7558,0.15117511751175117,0.001837453142990807,-0.0022385361257874223,-1.521661672484041e-06
7559,0.1511951195119512,0.0018379385362192607,-0.0022394418427126236,-1.5227486823900094e-06
7560,0.15121512151215122,0.001838424029312745,-0.002240347810919379,-1.5238363557792131e-06
7561,0.15123512351235124,0.0018389096222850593,-0.0022412540304424513,-1.524924692985567e-06
7562,0.15125512551255127,0.0018393953151555568,-0.0022421605013305504,-1.5260136943555745e-06
7563,0.15127512751275127,0.0018398811079376298,-0.002243067223617398,-1.5271033602225125e-06
