,initial angle,arc_length,incidence angle,distance from mirror
712,0.0007120712071207121,1.1178834545506969e-05,0.008049905631755177,4.505584804388631e-08
713,0.0007130713071307131,1.1194532420341349e-05,0.008061211348533633,4.5182391930649065e-08
714,0.0007140714071407141,1.1210230283682857e-05,0.008072517064024148,4.5309113200342104e-08
715,0.000715071507150715,1.1225928135138234e-05,0.00808382277805241,4.543601184950356e-08
716,0.0007160716071607161,1.1241625975306064e-05,0.008095128490651478,4.556308788268786e-08
717,0.0007170717071707171,1.1257323804220374e-05,0.008106434202025364,4.569034129989636e-08
718,0.0007180718071807181,1.127302162131744e-05,0.008117739912015535,4.581777209627673e-08
719,0.0007190719071907191,1.1288719426179948e-05,0.008129045620214558,4.594538026814128e-08
720,0.00072007200720072,1.1304417219806117e-05,0.008140351327237397,4.607316582332076e-08
721,0.0007210721072107211,1.13201150026459e-05,0.00815165703315765,4.620112876521167e-08
722,0.0007220722072207221,1.133581277224581e-05,0.008162962737065608,4.632926907351077e-08
723,0.0007230723072307231,1.135151053098509e-05,0.008174268439945615,4.645758676735115e-08
724,0.0007240724072407241,1.1367208277911e-05,0.008185574141216163,4.658608183866323e-08
725,0.0007250725072507251,1.138290601322795e-05,0.008196879841154874,4.671475428883452e-08
726,0.0007260726072607261,1.1398603736647508e-05,0.00820818553975065,4.684360411521394e-08
727,0.0007270727072707271,1.1414301448915617e-05,0.008219491236955591,4.697263132364192e-08
728,0.0007280728072807281,1.14299991486987e-05,0.008230796932577203,4.7101835902865035e-08
729,0.0007290729072907291,1.144569683716103e-05,0.008242102626927006,4.7231217862177077e-08
730,0.0007300730073007301,1.1461394514052432e-05,0.008253408319893971,4.736077719923559e-08
731,0.0007310731073107311,1.1477092178358324e-05,0.008264714011179423,4.7490513905367284e-08
732,0.0007320732073207321,1.1492789831478042e-05,0.008276019701235994,4.7620427991849237e-08
733,0.0007330733073307331,1.1508487472691088e-05,0.008287325389834363,4.775051945243462e-08
734,0.0007340734073407341,1.1524185102748183e-05,0.008298631077232652,4.788078829306533e-08
735,0.0007350735073507351,1.1539882718962635e-05,0.00830993676258261,4.8011234491130714e-08
736,0.0007360736073607361,1.1555580326054642e-05,0.008321242447332235,4.814185808558627e-08
737,0.000737073707370737,1.1571277919104463e-05,0.008332548130023688,4.8272659035199426e-08
738,0.0007380738073807381,1.1586975499950615e-05,0.008343853811149137,4.840363735496842e-08
739,0.0007390739073907391,1.1602673070955328e-05,0.008355159491471618,4.853479306434149e-08
740,0.0007400740074007401,1.1618370628291634e-05,0.008366465169834135,4.866612613104716e-08
741,0.0007410741074107411,1.1634068174937784e-05,0.008377770847139,4.879763657971088e-08
742,0.000742074207420742,1.1649765708702329e-05,0.008389076522801261,4.89293243916809e-08
